證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.4,108.0,9.56,1.25,109/2,2020-09-25
1102,亞泥,7.35,108.0,9.98,1.0,109/2,2020-09-25
1103,嘉泥,6.39,108.0,20.06,0.47,109/2,2020-09-25
1104,環泥,5.35,108.0,10.56,0.7,109/2,2020-09-25
1108,幸福,1.4,108.0,14.86,0.97,109/2,2020-09-25
1109,信大,5.87,108.0,6.94,0.96,109/2,2020-09-25
1110,東泥,0.6,108.0,,1.13,109/2,2020-09-25
1201,味全,6.79,108.0,33.79,1.58,109/2,2020-09-25
1203,味王,3.18,108.0,17.16,1.5,109/2,2020-09-25
1210,大成,5.23,108.0,12.99,1.87,109/2,2020-09-25
1213,大飲,0.0,108.0,,0.96,109/2,2020-09-25
1215,卜蜂,6.11,108.0,11.45,2.26,109/2,2020-09-25
1216,統一,4.05,108.0,18.67,3.41,109/2,2020-09-25
1217,愛之味,0.0,108.0,34.76,0.63,109/2,2020-09-25
1218,泰山,4.24,108.0,14.86,1.58,109/2,2020-09-25
1219,福壽,2.11,108.0,12.15,1.47,109/2,2020-09-25
1220,台榮,5.26,108.0,12.53,0.89,109/2,2020-09-25
1225,福懋油,4.11,108.0,20.93,2.27,109/2,2020-09-25
1227,佳格,4.34,108.0,15.37,3.54,109/2,2020-09-25
1229,聯華,8.12,108.0,15.95,1.58,109/2,2020-09-25
1231,聯華食,5.15,108.0,12.73,1.98,109/2,2020-09-25
1232,大統益,4.26,108.0,19.11,4.97,109/2,2020-09-25
1233,天仁,4.54,108.0,38.32,2.23,109/2,2020-09-25
1234,黑松,5.27,108.0,16.13,0.74,109/2,2020-09-25
1235,興泰,4.53,108.0,26.13,0.76,109/2,2020-09-25
1236,宏亞,2.27,108.0,69.47,0.88,109/2,2020-09-25
1256,鮮活果汁-KY,2.38,108.0,17.75,4.43,109/2,2020-09-25
1301,台塑,5.57,108.0,28.21,1.73,109/2,2020-09-25
1303,南亞,3.78,108.0,30.16,1.49,109/2,2020-09-25
1304,台聚,3.21,108.0,15.29,0.91,109/2,2020-09-25
1305,華夏,5.29,108.0,15.0,1.21,109/2,2020-09-25
1307,三芳,3.99,108.0,31.33,1.01,109/2,2020-09-25
1308,亞聚,6.34,108.0,11.34,0.96,109/2,2020-09-25
1309,台達化,2.27,108.0,15.62,1.92,109/2,2020-09-25
1310,台苯,6.33,108.0,112.86,1.33,109/2,2020-09-25
1312,國喬,0.0,108.0,11.37,0.69,109/2,2020-09-25
1313,聯成,1.62,108.0,88.21,0.79,109/2,2020-09-25
1314,中石化,3.61,108.0,21.84,0.39,109/2,2020-09-25
1315,達新,7.21,108.0,1.77,0.76,109/2,2020-09-25
1316,上曜,0.0,108.0,,1.12,109/2,2020-09-25
1319,東陽,5.06,108.0,15.94,1.01,109/2,2020-09-25
1321,大洋,0.0,108.0,13.95,1.26,109/2,2020-09-25
1323,永裕,4.86,108.0,9.55,1.49,109/2,2020-09-25
1324,地球,3.09,108.0,69.29,0.77,109/2,2020-09-25
1325,恆大,0.24,108.0,14.29,4.18,109/2,2020-09-25
1326,台化,5.63,108.0,33.09,1.33,109/2,2020-09-25
1337,再生-KY,0.0,108.0,,0.33,109/2,2020-09-25
1338,廣華-KY,6.6,108.0,19.7,0.77,109/2,2020-09-25
1339,昭輝,4.9,108.0,19.81,0.9,109/2,2020-09-25
1340,勝悅-KY,0.0,108.0,,0.33,109/2,2020-09-25
1341,富林-KY,8.67,108.0,10.67,2.71,109/2,2020-09-25
1402,遠東新,5.98,108.0,15.12,0.68,109/2,2020-09-25
1409,新纖,5.09,108.0,7.15,0.58,109/2,2020-09-25
1410,南染,3.05,108.0,34.89,1.96,109/2,2020-09-25
1413,宏洲,0.0,108.0,,1.08,109/2,2020-09-25
1414,東和,2.48,108.0,33.67,0.58,109/2,2020-09-25
1416,廣豐,0.0,108.0,,0.68,109/2,2020-09-25
1417,嘉裕,4.65,108.0,7.52,0.72,109/2,2020-09-25
1418,東華,0.0,108.0,,0.85,109/2,2020-09-25
1419,新紡,2.35,108.0,35.12,1.55,109/2,2020-09-25
1423,利華,0.84,108.0,,0.86,109/2,2020-09-25
1432,大魯閣,0.0,108.0,,2.74,109/2,2020-09-25
1434,福懋,8.09,108.0,12.46,0.92,109/2,2020-09-25
1435,中福,0.0,108.0,,1.93,109/2,2020-09-25
1436,華友聯,6.63,108.0,14.67,1.41,109/2,2020-09-25
1437,勤益控,4.85,108.0,17.2,0.74,109/2,2020-09-25
1438,三地開發,0.0,108.0,33.66,2.5,109/2,2020-09-25
1439,中和,18.08,108.0,162.65,1.1,109/2,2020-09-25
1440,南紡,1.79,108.0,,0.76,109/2,2020-09-25
1441,大東,0.0,108.0,,0.93,109/2,2020-09-25
1442,名軒,5.08,108.0,42.39,1.25,109/2,2020-09-25
1443,立益,0.0,108.0,,1.05,109/2,2020-09-25
1444,力麗,0.0,108.0,,1.19,109/2,2020-09-25
1445,大宇,2.13,108.0,,0.76,109/2,2020-09-25
1446,宏和,1.01,108.0,,2.74,109/2,2020-09-25
1447,力鵬,0.0,108.0,,0.64,109/2,2020-09-25
1449,佳和,0.0,108.0,,2.8,109/2,2020-09-25
1451,年興,0.0,108.0,,0.44,109/2,2020-09-25
1452,宏益,7.84,108.0,27.82,0.87,109/2,2020-09-25
1453,大將,2.31,108.0,,0.68,109/2,2020-09-25
1454,台富,3.2,108.0,,0.67,109/2,2020-09-25
1455,集盛,0.0,108.0,,0.76,109/2,2020-09-25
1456,怡華,0.0,108.0,333.33,0.78,109/2,2020-09-25
1457,宜進,7.43,108.0,6.0,0.67,109/2,2020-09-25
1459,聯發,0.0,108.0,,0.96,109/2,2020-09-25
1460,宏遠,0.0,108.0,,1.03,109/2,2020-09-25
1463,強盛,4.71,108.0,26.56,0.98,109/2,2020-09-25
1464,得力,8.5,108.0,63.04,1.43,109/2,2020-09-25
1465,偉全,11.49,108.0,,0.78,109/2,2020-09-25
1466,聚隆,0.0,108.0,,1.68,109/2,2020-09-25
1467,南緯,0.0,108.0,,1.62,109/2,2020-09-25
1468,昶和,0.0,108.0,54.76,1.54,109/2,2020-09-25
1470,大統新創,4.55,108.0,37.45,1.63,109/2,2020-09-25
1471,首利,0.0,108.0,,2.16,109/2,2020-09-25
1472,三洋紡,0.0,108.0,,2.21,109/2,2020-09-25
1473,台南,2.8,108.0,,0.73,109/2,2020-09-25
1474,弘裕,0.0,108.0,18.05,0.79,109/2,2020-09-25
1475,業旺,0.0,108.0,,7.35,109/2,2020-09-25
1476,儒鴻,3.13,108.0,25.86,5.87,109/2,2020-09-25
1477,聚陽,2.99,108.0,19.99,4.22,109/2,2020-09-25
1503,士電,3.42,108.0,14.55,1.01,109/2,2020-09-25
1504,東元,3.3,108.0,17.34,0.94,109/2,2020-09-25
1506,正道,0.0,108.0,,2.0,109/2,2020-09-25
1507,永大,4.11,108.0,17.6,2.04,109/2,2020-09-25
1512,瑞利,0.0,108.0,,5.27,109/2,2020-09-25
1513,中興電,2.81,108.0,23.69,2.34,109/2,2020-09-25
1514,亞力,4.82,108.0,15.47,1.66,109/2,2020-09-25
1515,力山,3.8,108.0,25.0,4.65,109/2,2020-09-25
1516,川飛,2.2,108.0,23.99,1.5,109/2,2020-09-25
1517,利奇,1.8,108.0,,0.82,109/2,2020-09-25
1519,華城,2.39,108.0,23.81,3.42,109/2,2020-09-25
1521,大億,7.69,108.0,18.77,2.37,109/2,2020-09-25
1522,堤維西,6.83,108.0,21.81,1.04,109/2,2020-09-25
1524,耿鼎,4.28,108.0,18.7,0.73,109/2,2020-09-25
1525,江申,3.19,108.0,16.6,1.16,109/2,2020-09-25
1526,日馳,1.62,108.0,21.52,2.83,109/2,2020-09-25
1527,鑽全,3.19,108.0,19.09,1.34,109/2,2020-09-25
1528,恩德,1.28,108.0,,0.72,109/2,2020-09-25
1529,樂士,3.28,108.0,27.73,1.43,109/2,2020-09-25
1530,亞崴,5.06,108.0,8.28,0.94,109/2,2020-09-25
1531,高林股,1.81,108.0,,0.58,109/2,2020-09-25
1532,勤美,3.05,108.0,71.9,1.03,109/2,2020-09-25
1533,車王電,1.75,108.0,40.21,1.17,109/2,2020-09-25
1535,中宇,3.79,108.0,26.42,1.37,109/2,2020-09-25
1536,和大,2.23,108.0,59.01,3.69,109/2,2020-09-25
1537,廣隆,7.33,108.0,12.42,3.09,109/2,2020-09-25
1538,正峰,0.0,108.0,,1.24,109/2,2020-09-25
1539,巨庭,3.76,108.0,62.5,1.08,109/2,2020-09-25
1540,喬福,6.97,108.0,,0.92,109/2,2020-09-25
1541,錩泰,0.0,108.0,10.81,2.69,109/2,2020-09-25
1558,伸興,6.54,108.0,11.8,1.81,109/2,2020-09-25
1560,中砂,4.71,108.0,14.89,2.02,109/2,2020-09-25
1568,倉佑,3.27,108.0,,1.08,109/2,2020-09-25
1582,信錦,5.49,108.0,9.84,1.93,109/2,2020-09-25
1583,程泰,5.09,108.0,13.06,1.37,109/2,2020-09-25
1587,吉茂,2.02,108.0,16.58,1.34,109/2,2020-09-25
1589,永冠-KY,0.56,108.0,28.43,1.28,109/2,2020-09-25
1590,亞德客-KY,0.77,108.0,39.09,6.31,109/2,2020-09-25
1592,英瑞-KY,0.0,108.0,,0.57,109/2,2020-09-25
1598,岱宇,0.99,108.0,37.71,4.63,109/2,2020-09-25
1603,華電,1.84,108.0,18.38,0.84,109/2,2020-09-25
1604,聲寶,6.91,108.0,18.55,1.33,109/2,2020-09-25
1605,華新,3.26,108.0,12.83,0.69,109/2,2020-09-25
1608,華榮,6.8,108.0,18.65,0.68,109/2,2020-09-25
1609,大亞,1.86,108.0,12.38,1.28,109/2,2020-09-25
1611,中電,11.01,108.0,5.17,0.87,109/2,2020-09-25
1612,宏泰,3.7,108.0,27.0,0.92,109/2,2020-09-25
1614,三洋電,2.31,108.0,30.51,1.83,109/2,2020-09-25
1615,大山,9.41,108.0,9.24,1.32,109/2,2020-09-25
1616,億泰,0.0,108.0,,0.65,109/2,2020-09-25
1617,榮星,2.36,108.0,15.68,1.1,109/2,2020-09-25
1618,合機,3.31,108.0,13.74,0.54,109/2,2020-09-25
1626,艾美特-KY,4.07,108.0,19.52,1.12,109/2,2020-09-25
1701,中化,3.48,108.0,13.37,1.06,109/2,2020-09-25
1702,南僑,4.78,108.0,11.92,1.85,109/2,2020-09-25
1707,葡萄王,3.75,108.0,18.44,4.06,109/2,2020-09-25
1708,東鹼,7.1,108.0,25.92,0.83,109/2,2020-09-25
1709,和益,3.75,108.0,20.23,0.93,109/2,2020-09-25
1710,東聯,1.89,108.0,,1.1,109/2,2020-09-25
1711,永光,1.89,108.0,36.14,1.13,109/2,2020-09-25
1712,興農,6.68,108.0,12.55,1.19,109/2,2020-09-25
1713,國化,3.25,108.0,46.97,1.19,109/2,2020-09-25
1714,和桐,0.0,108.0,5.32,0.8,109/2,2020-09-25
1717,長興,4.38,108.0,19.97,1.99,109/2,2020-09-25
1718,中纖,0.0,108.0,,0.45,109/2,2020-09-25
1720,生達,3.96,108.0,14.84,1.81,109/2,2020-09-25
1721,三晃,0.0,108.0,3.76,0.75,109/2,2020-09-25
1722,台肥,4.45,108.0,18.87,0.97,109/2,2020-09-25
1723,中碳,5.52,108.0,23.05,3.5,109/2,2020-09-25
1724,台硝,3.94,108.0,30.98,0.83,109/2,2020-09-25
1725,元禎,5.96,108.0,14.47,0.77,109/2,2020-09-25
1726,永記,4.65,108.0,14.61,1.36,109/2,2020-09-25
1727,中華化,1.8,108.0,,0.95,109/2,2020-09-25
1730,花仙子,5.43,108.0,16.59,2.85,109/2,2020-09-25
1731,美吾華,3.73,108.0,15.94,1.2,109/2,2020-09-25
1732,毛寶,0.0,108.0,20.25,1.8,109/2,2020-09-25
1733,五鼎,4.59,108.0,23.27,1.51,109/2,2020-09-25
1734,杏輝,0.53,108.0,104.03,2.35,109/2,2020-09-25
1735,日勝化,3.94,108.0,30.0,1.2,109/2,2020-09-25
1736,喬山,2.24,108.0,24.13,2.32,109/2,2020-09-25
1737,臺鹽,4.93,108.0,19.77,1.01,109/2,2020-09-25
1760,寶齡富錦,1.5,108.0,134.83,7.65,109/2,2020-09-25
1762,中化生,1.18,108.0,11.39,2.21,109/2,2020-09-25
1773,勝一,4.26,108.0,14.04,2.91,109/2,2020-09-25
1776,展宇,5.54,108.0,30.7,1.16,109/2,2020-09-25
1783,和康生,3.5,108.0,26.87,1.87,109/2,2020-09-25
1786,科妍,2.68,108.0,32.48,3.01,109/2,2020-09-25
1789,神隆,0.92,108.0,84.14,2.24,109/2,2020-09-25
1795,美時,0.0,108.0,25.5,2.48,109/2,2020-09-25
1802,台玻,0.0,108.0,,0.9,109/2,2020-09-25
1805,寶徠,0.0,108.0,,1.57,109/2,2020-09-25
1806,冠軍,0.0,108.0,,0.51,109/2,2020-09-25
1808,潤隆,4.91,108.0,29.66,3.95,109/2,2020-09-25
1809,中釉,1.92,108.0,,0.6,109/2,2020-09-25
1810,和成,0.0,108.0,26.37,0.61,109/2,2020-09-25
1817,凱撒衛,5.68,108.0,11.53,1.35,109/2,2020-09-25
1903,士紙,0.0,108.0,,5.98,109/2,2020-09-25
1904,正隆,3.8,108.0,11.05,1.49,109/2,2020-09-25
1905,華紙,0.0,108.0,,0.65,109/2,2020-09-25
1906,寶隆,3.66,108.0,25.28,0.56,109/2,2020-09-25
1907,永豐餘,4.17,108.0,7.92,0.73,109/2,2020-09-25
1909,榮成,1.82,108.0,36.67,0.96,109/2,2020-09-25
2002,中鋼,2.48,108.0,,1.08,109/2,2020-09-25
2006,東和鋼鐵,4.81,108.0,13.82,1.18,109/2,2020-09-25
2007,燁興,0.0,108.0,,0.69,109/2,2020-09-25
2008,高興昌,0.0,108.0,,1.09,109/2,2020-09-25
2009,第一銅,0.0,108.0,,0.88,109/2,2020-09-25
2010,春源,2.88,108.0,23.11,0.67,109/2,2020-09-25
2012,春雨,7.36,108.0,14.3,1.32,109/2,2020-09-25
2013,中鋼構,2.84,108.0,12.98,1.25,109/2,2020-09-25
2014,中鴻,0.0,108.0,,0.97,109/2,2020-09-25
2015,豐興,5.4,108.0,16.26,1.82,109/2,2020-09-25
2017,官田鋼,0.0,108.0,,0.75,109/2,2020-09-25
2020,美亞,11.75,108.0,12.3,1.24,109/2,2020-09-25
2022,聚亨,0.0,108.0,,0.64,109/2,2020-09-25
2023,燁輝,0.0,108.0,,0.72,109/2,2020-09-25
2024,志聯,2.48,108.0,,1.24,109/2,2020-09-25
2025,千興,0.0,108.0,,2.1,109/2,2020-09-25
2027,大成鋼,6.33,108.0,,1.01,109/2,2020-09-25
2028,威致,0.0,108.0,18.98,1.29,109/2,2020-09-25
2029,盛餘,0.82,108.0,,0.68,109/2,2020-09-25
2030,彰源,5.12,108.0,26.24,0.76,109/2,2020-09-25
2031,新光鋼,2.66,108.0,46.85,1.59,109/2,2020-09-25
2032,新鋼,3.75,108.0,21.72,0.74,109/2,2020-09-25
2033,佳大,2.02,108.0,19.8,0.8,109/2,2020-09-25
2034,允強,6.58,108.0,20.54,1.32,109/2,2020-09-25
2038,海光,0.0,108.0,,0.63,109/2,2020-09-25
2049,上銀,0.74,108.0,101.08,3.7,109/2,2020-09-25
2059,川湖,2.89,108.0,19.02,2.49,109/2,2020-09-25
2062,橋椿,0.42,108.0,,0.78,109/2,2020-09-25
2069,運錩,3.4,108.0,,0.75,109/2,2020-09-25
2101,南港,2.94,108.0,34.51,3.27,109/2,2020-09-25
2102,泰豐,0.0,108.0,,1.19,109/2,2020-09-25
2103,台橡,2.95,108.0,211.88,0.98,109/2,2020-09-25
2104,國際中橡,1.04,108.0,,0.64,109/2,2020-09-25
2105,正新,2.78,108.0,116.13,1.61,109/2,2020-09-25
2106,建大,2.77,108.0,49.74,1.41,109/2,2020-09-25
2107,厚生,4.26,108.0,8.63,0.63,109/2,2020-09-25
2108,南帝,4.46,108.0,17.07,2.9,109/2,2020-09-25
2109,華豐,0.0,108.0,48.0,1.45,109/2,2020-09-25
2114,鑫永銓,6.26,108.0,14.69,2.59,109/2,2020-09-25
2115,六暉-KY,6.72,108.0,6.38,1.42,109/2,2020-09-25
2201,裕隆,0.0,108.0,,0.76,109/2,2020-09-25
2204,中華,0.0,108.0,,0.57,109/2,2020-09-25
2206,三陽工業,4.52,108.0,17.33,1.32,109/2,2020-09-25
2207,和泰車,2.32,108.0,25.46,5.82,109/2,2020-09-25
2208,台船,0.0,108.0,,1.9,109/2,2020-09-25
2227,裕日車,8.75,108.0,12.45,4.43,109/2,2020-09-25
2228,劍麟,6.59,108.0,16.15,1.65,109/2,2020-09-25
2231,為升,4.68,108.0,41.51,6.31,109/2,2020-09-25
2233,宇隆,4.78,108.0,14.97,1.66,109/2,2020-09-25
2236,百達-KY,2.38,108.0,23.63,0.7,109/2,2020-09-25
2239,英利-KY,3.33,108.0,25.81,0.88,109/2,2020-09-25
2241,艾姆勒,1.74,108.0,80.48,3.61,109/2,2020-09-25
2243,宏旭-KY,0.0,108.0,,0.7,109/2,2020-09-25
2301,光寶科,7.11,108.0,9.93,1.53,109/2,2020-09-25
2302,麗正,0.0,108.0,,1.53,109/2,2020-09-25
2303,聯電,3.2,108.0,19.38,1.45,109/2,2020-09-25
2305,全友,0.0,108.0,189.75,0.73,109/2,2020-09-25
2308,台達電,2.83,108.0,23.07,3.45,109/2,2020-09-25
2312,金寶,2.92,108.0,48.18,0.99,109/2,2020-09-25
2313,華通,2.92,108.0,10.14,1.9,109/2,2020-09-25
2314,台揚,0.0,108.0,,1.95,109/2,2020-09-25
2317,鴻海,5.65,108.0,9.96,0.88,109/2,2020-09-25
2321,東訊,0.0,108.0,,5.12,109/2,2020-09-25
2323,中環,2.61,108.0,,0.47,109/2,2020-09-25
2324,仁寶,6.35,108.0,12.86,0.81,109/2,2020-09-25
2327,國巨,4.03,108.0,18.61,2.52,109/2,2020-09-25
2328,廣宇,5.99,108.0,11.36,0.84,109/2,2020-09-25
2329,華泰,1.48,108.0,203.0,0.99,109/2,2020-09-25
2330,台積電,2.24,108.0,24.17,6.39,109/2,2020-09-25
2331,精英,0.0,108.0,25.94,0.64,109/2,2020-09-25
2332,友訊,0.0,108.0,,1.37,109/2,2020-09-25
2337,旺宏,4.1,108.0,10.45,1.63,109/2,2020-09-25
2338,光罩,3.77,108.0,33.19,1.93,109/2,2020-09-25
2340,光磊,4.52,108.0,16.37,1.19,109/2,2020-09-25
2342,茂矽,0.0,108.0,,2.56,109/2,2020-09-25
2344,華邦電,0.82,108.0,49.0,0.82,109/2,2020-09-25
2345,智邦,2.93,108.0,23.58,10.31,109/2,2020-09-25
2347,聯強,6.38,108.0,9.52,1.44,109/2,2020-09-25
2348,海悅,4.88,108.0,9.34,3.86,109/2,2020-09-25
2349,錸德,0.0,108.0,,1.11,109/2,2020-09-25
2351,順德,3.27,108.0,33.6,1.86,109/2,2020-09-25
2352,佳世達,4.14,108.0,12.57,1.08,109/2,2020-09-25
2353,宏碁,3.25,108.0,22.02,1.29,109/2,2020-09-25
2354,鴻準,4.96,108.0,11.1,0.75,109/2,2020-09-25
2355,敬鵬,3.79,108.0,25.14,0.7,109/2,2020-09-25
2356,英業達,5.91,108.0,11.06,1.43,109/2,2020-09-25
2357,華碩,5.68,108.0,12.65,1.07,109/2,2020-09-25
2358,廷鑫,1.31,108.0,63.54,1.15,109/2,2020-09-25
2359,所羅門,4.44,108.0,17.14,0.69,109/2,2020-09-25
2360,致茂,1.99,108.0,29.61,4.42,109/2,2020-09-25
2362,藍天,1.38,108.0,42.72,0.46,109/2,2020-09-25
2363,矽統,16.89,108.0,,0.77,109/2,2020-09-25
2364,倫飛,0.0,108.0,,4.6,109/2,2020-09-25
2365,昆盈,4.41,108.0,12.71,0.73,109/2,2020-09-25
2367,燿華,3.93,108.0,35.7,1.22,109/2,2020-09-25
2368,金像電,0.0,108.0,15.21,2.88,109/2,2020-09-25
2369,菱生,0.0,108.0,,0.77,109/2,2020-09-25
2371,大同,0.0,108.0,8.04,1.0,109/2,2020-09-25
2373,震旦行,7.11,108.0,15.13,3.09,109/2,2020-09-25
2374,佳能,2.37,108.0,,0.61,109/2,2020-09-25
2375,凱美,1.34,108.0,11.76,0.93,109/2,2020-09-25
2376,技嘉,2.92,108.0,15.68,1.99,109/2,2020-09-25
2377,微星,3.28,108.0,16.95,3.53,109/2,2020-09-25
2379,瑞昱,3.13,108.0,24.84,7.14,109/2,2020-09-25
2380,虹光,0.0,108.0,,1.07,109/2,2020-09-25
2382,廣達,5.04,108.0,15.99,2.19,109/2,2020-09-25
2383,台光電,3.99,108.0,12.73,3.5,109/2,2020-09-25
2385,群光,7.02,108.0,11.05,2.42,109/2,2020-09-25
2387,精元,1.54,108.0,40.37,2.01,109/2,2020-09-25
2388,威盛,0.0,108.0,,5.18,109/2,2020-09-25
2390,云辰,0.0,108.0,19.94,1.43,109/2,2020-09-25
2392,正崴,6.07,108.0,9.36,0.95,109/2,2020-09-25
2393,億光,3.97,108.0,16.19,0.95,109/2,2020-09-25
